Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
mercedes eqa 350 4matic (awd) (2021),6 sec.,160 km/h,"8,85€ @ 11kW","2,21 €",59 200 €,"79,8 kWh "," 66,5 kWh",292 ch , 215 kW , 520 Nm,2105kg,"0,28","0,71",432,154 Wh/km,510-345 km,130-193 Wh/km,320-250 km,208-266 Wh/km
skoda enyaq - vision iv 80 suv (rwd) (2021),"8,8 sec.",160 km/h,"11,4€ @ 11kW","2,27 €",> 34 000 €,82 kWh , 77 kWh,204 ch , 150 kW , 310 Nm,1950kg,"0,29","0,75",500,154 Wh/km,615-415 km,120-176 Wh/km,225-175 km,380-300 Wh/km
ford mustang mach-e sr (rwd) (2021),"6,9 sec.",180 km/h,"10,33€ @ 11kW","2,29 €",47 925 €,"75,7 kWh ", 68 kWh,269 ch , 198 kW , 430 Nm,1993kg,"0,29","0,77",440,"154,5 Wh/km",510-350 km,133-194 Wh/km,310-245 km,278-219 Wh/km
Tesla Model X,"3,9 sec.",250 km/h,"14€@11-17kW / 22,8€ (SUC)","2,76€/4,49€ (SUC)",109 990 €,95kWh , 90kWh,680 ch , 500 kW , ? Nm,2352kg,"0,24","0,62",,,685-465 km,131-194 Wh/km,415-325 km,435-340 Wh/km
mercedes eqa 300 4matic (awd) (2021),"7,7 sec.",160 km/h,"8,85€ @ 11kW","2,21 €",52 000 €,"79,8 kWh "," 66,5 kWh",228 ch , 168 kW , 390 Nm,2105kg,"0,28","0,71",426,"156,1 Wh/km",510-345 km,130-193 Wh/km,320-250 km,208-266 Wh/km
polestar 2 long range (chine) (awd) (2021-2022),"4,7 sec.",205 km/h,"11,1€ @ 11kW","2,30 €",50 000 €,78 kWh , 75 kWh,408 ch , 300 kW , 660 Nm,2188kg,"0,28","0,64",480,"156,2 Wh/km",570-390 km,132-192 Wh/km,370-285 km,203-263 Wh/km
audi q4 e-tron 45 quattro suv (awd) (2021),"6,9 sec.",180 km/h,"11,36€ @ 11kW","2,52 €",50 450 €,82 kWh ," 76,6 kWh",265 ch , 195 kW , 425 Nm,2210kg,"0,28","0,724",490,"156,3 Wh/km",560-385 km,137-199 Wh/km,365-290 km,275-350 Wh/km
hyundai ioniq 5 (2021) long range (awd) (2021),"5,2 sec.",185 km/h,"10,7€ @ 11kW","2,32 €",46 990 €,"77,4 kWh "," 72,6 kWh",306 ch , 225 kW , 605 Nm,2095kg, ?, ?,462,"157,1 Wh/km",365-235 km,132-194 Wh/km,230-175 km,210-269 Wh/km
bmw i4 m50 (2021) (awd) (2021),"3,9 sec.
7,5 sec.",225 km/h,"11,8€ @ 11kW","1,96 €",71 650 €,"83,9kWh "," 80,7kWh",544 ch , 400 kW , 795 Nm,2290kg ,"0,24", ?,510,"158,2 Wh/km",645-430 km,125-188 Wh/km,425-330 km,190-245 Wh/km
seres 3 (chine) (fwd) (2021,"8,9 sec.",155 km/h,"8€ @ 6,6kW","2,43 €",32 000 €,52kWh , 52kWh,163 ch , 120 kW , 300 Nm,1650kg , ?, ?,329,158 Wh/km,405-275 km,128-189 Wh/km,240-190 km,217-274 Wh/km
tesla model y - l. range - perform. (awd) (2021),"3,7 sec.",241 km/h,"10,7€@11kW / 17,4€ (SUC)","2,12€/3,44€ (SUC)",66 990 €,82 kWh , 76 kWh,571 ch , 420 kW , 660 Nm,2003kg,"0,23","0,67",480,"158,3 Wh/km",625-420 km,122-181 Wh/km,395-305 km,192-249 Wh/km
peugeot e-rifter standard (fwd) (2021),"11,7 sec.",135 km/h,"6,64€@11kW","2,36 €",23 850 €,50 kWh , 45 kWh,136 ch , 100 kW , 260 Nm,1765kg, ?, ?,282,"159,6 Wh/km",300-210 km,150-214 Wh/km,170-140 km,265-321 Wh/km
volkswagen id.4 gtx suv (awd) (2021),"6,2 sec.",180 km/h,"11,36 € @ 7,4kW","2,27 €",48 400 €,82 kWh , 77 kWh,299 ch , 220 kW , 460 Nm,2224kg,"0,29","0,75",482,"159,7 Wh/km",580-395 km,133-195 Wh/km,365-285 km,211-270 Wh/km
hyundai ioniq 5 (2021) stand. range (awd) (2021),"6,1 sec.",185 km/h,"8,56€ @ 11kW","2,36 €",43 700 €,62 kWh , 58 kWh,235 ch , 173 kW , 605 Nm,2000kg, ?, ?,362,"160,2 Wh/km",450-305 km,129-190 Wh/km,280-220 km,207-264 Wh/km
tesla model s p100d performance (awd) (2017),"2,5 sec.",261 km/h,"14€@11-17kW / 22,8€ (SUC)","2,25€/3,65€ (SUC)",103 600 €,100kWh , 95kWh,836 ch , 615 kW , 1000 Nm,2316kg,"0,232","0,56",593,"160,2 Wh/km",715-490 km,133-194 Wh/km,470-335 km,202-260 Wh/km
mercedes eqs 580 4matic (awd) (2021),"4,3 sec.",210 km/h,"15,9€ @ 22kW","2,36 €",133 500 €,120 kWh ," 107,8 kWh",523ch , 385 kW , 855 Nm,2485kg,"0,20!","0,495!",672,"160,4 Wh/km",850-570 km,127-189 Wh/km,585-450 km,184-240 Wh/km
tesla model s 75d - standard (awd) (2017),"4,4 sec.",225 km/h,"10,7€@11kW / 17,4€ (SUC)","2,38€/3,86€ (SUC)",91 700 €,75kWh ," 72,5kWh",335 ch , 250 kW , 525 Nm,2215kg,"0,232","0,56",450,"160,8 Wh/km",,,,
BMW iX3,"6,8 sec.",180 km/h,"10,9€ @ 11kW","2,37 €",72 950 - 79 350€,80 kWh , 74 kWh,286 ch , 210 kW , 400 Nm,2260kg,"0,29","0,77",461,"160,9 Wh/km",560-385 km,132-192 Wh/km,350-275 km,211-269 Wh/km
peugeot partner tepee electric (fwd) (2013),"19,1 sec.",110 km/h,"3,15€ @ 3,2kW","2,48 €",19 300 €,"22,5 kWh "," 20,5 kWh",67 ch , 49 kW , 200 Nm,1579kg, ? , ?,127,"161,4 Wh/km",170-115 km,121-178 Wh/km,145-115 km,100-75 Wh/km
mg marvel r (rwd) (2022),"7,9 sec.",200 km/h,"9,99€ @ 6,6kW","2,48 €",38 000 €,"69,9 kWh ", 65 kWh,179 ch , 132 kW , 410Nm,1810kg, ?, ?,402,"161,7 Wh/km",505-345 km,129-188 Wh/km,305-140 km,213-271 Wh/km
mg zs standard range suv (chine) (fwd) (2021),"8,6 sec.",175 km/h,"6,53€ @ 6,6kW","2,48 €",24 990 €,53 kWh , 51 kWh,204 ch , 150 kW , 310Nm,1570kg,"0,36","0,71",320,"159,4 Wh/km",,,,
ford mustang mach-e er (awd) (2021),"5,8 sec.",180 km/h,"13,28€ @ 11kW","2,46 €",67 140 €,"98,7 kWh ", 88 kWh,351 ch , 258 kW , 580 Nm,2218kg,"0,29","0,77",540,163 Wh/km,610-420 km,144-210 Wh/km,380-300 km,232-293 Wh/km
