Marque / Modèle,Temps 0-100km/h,Vitesse maximale,Coût recharge 100% de la batterie,Coût au 100km (WLTP),Prix du véhicule (TTC - Bonus écologique 6k€ ou 2k€ Inclus),Capacité Batterie brute,Capacité Batterie utile,Puissance/couple moteur(s) ch,Puissance/couple moteur(s) kW,Puissance/couple moteur(s) Nm,Poids à Vide,Poids Cx,Poids Scx,Autonomie,Consommation construsteur (cycle WLTP),Estimation autonomie ville,conso. réelle en ville (à 23°C et -10°C),Estimation autonomie autoroute,conso. réelle autoroute (à 23°C et -10°)
kia ev6 gt (awd) (2021),"3,5 sec.",260 km/h,"11,42€ @11kW","2,89 €",66 900 €,"82,5 kWh "," 77,4 kWh",585 ch , 430 kW , 740 Nm,2175kg, ?, ?,395,196 Wh/km,570-390 km,136-198 Wh/km,360-280 km,215-276 Wh/km
toyota proace verso l 75 (fwd) (2021),"13,1 sec.",130 km/h,"10€ @ 7,4kW","3,03 €",55 820 €,75 kWh , 65 kWh,136 ch , 100 kW , 260 Nm,2167kg, ?, ?,330,197 Wh/km,375-270 km,173-241 Wh/km,215-175 km,302-371 Wh/km
audi e-tron 55 quattro suv (awd) (2021),"5,7 sec.",200 km/h,"12,76€ @ 11kW","2,89 €",79 500 €,95 kWh ," 86,5 kWh",408 ch , 300 kW , 664 Nm,2595kg,"0,25","0,60",441,"196,1 Wh/km",515-365 km,168-237 Wh/km,330-265 km,262-326 Wh/km
porsche taycan cross turismo (awd) (2020),"2,9 sec.",250 km/h,"12,35€ @ 11kW","2,95 €",185 750 €,"93,4 kWh "," 83,7 kWh",761 ch , 560 kW , 1050 Nm,2320kg," 0,25 ","0,57",419,"199,7 Wh/km",535-375 km,156-223 Wh/km,345-275 km,243-304 Wh/km
byton m-byte 72 kwh (chine) (rwd) (2022),"7,5 sec.",190 km/h,"10,6€ @ 11kW","2,95 €",~ 52 000 €,80 kWh , 72 kWh,272 ch , 200 kW , 410 Nm,2300kg, ? , ?,360,200 Wh/km,470-330 km,153-218 Wh/km,290-230 km,248-313 Wh/km
porsche taycan turbo s (awd) (2020),"2,8 sec.",260 km/h,"12,35€ @ 11kW","2,97 €",186 400 €,"93,4 kWh "," 83,7 kWh",761ch , 560kW , 1050Nm,2370kg," 0,25 ","0,57",416,"201,2 Wh/km",550-385 km,152-217 Wh/km,365-285 km,229-294 Wh/km
aston martin rapid e (rwd) (2020),< 4 sec.,250 km/h,"9,6€ @ 22kW","3,00 €",> 400 000 €,65 kWh , 65 kWh,610 ch , 455 kW , 950 Nm,> 2000kg, ?, ?,320,"203,1 Wh/km",,,,
tesla roadster (awd) (2022?),"1,9 sec.",410 km/h !,"29,5€@22kW / 48€ (SUC)","3,04€ / 4,95€ (SUC)",172 000 - 215 000 €,200 kWh , 200 kWh,1360 ch , 1000 kW , 10 000 Nm,2000kg, ? ,?,970,"206,2 Wh/km",1405-970 km,142-206 Wh/km,880-695 km,227-288 Wh/km
renault master ze (fwd) (2019),25 sec.,100 km/h,"4,77€ @ 7,4kW","3,18 €",> 46 100 €HT,33 kWh , 31 kWh,76 ch , 57 kW , 225 Nm,1972kg, ? , ?,150,"206,7 Wh/km",,,,
byton m-byte 95 kwh (chine) (rwd) (2022),"7,5 sec.",190 km/h,14€ @ 11kW,"3,05 €",~ 62 000 €,105 kWh , 95 kWh,272 ch , 200 kW , 410 Nm,2500kg, ? , ?,460,207 Wh/km,580-410 km,164-232 Wh/km,360-290 km,264-328 Wh/km
nissan ariya e-4orce 87kwh perf. (awd) (2021),"5,1 sec.",200 km/h,"12,84€ @ 22kW","3,21 €",~65 000 €,90 kWh , 87 kWh,394 ch , 290kW , 600 Nm,2300kg, ?, ?,400,"217,5 Wh/km",555-390 km,157-223 Wh/km,345-275 km,252-316 Wh/km
byton m-byte 95 kwh (chine) (awd) (2022),"5,5 sec.",190 km/h,14€ @ 11kW,"3,22 €",~ 65 000 €,105 kWh , 95 kWh,408 ch , 300 kW , 735 Nm,2600kg, ? , ?,435,218 Wh/km,565-400 km,168-238 Wh/km,350-280 km,271-339 Wh/km
Mercedes-Benz EQV,10 sec.,140 km/h,"13,3€ @ 11kW","3,66 €",72 744 €,100kWh , 90kWh,204 ch , 150 kW , 362 Nm,2635kg, ? , ?,363,"247,9 Wh/km",480-350 km,188-257 Wh/km,290-235 km,310-383 Wh/km
tesla cybertruck single motor (rwd) (2022),7 sec.,180 km/h,"14,8€ @ 11kW / 24€ (SUC)","3,78€ / 6,15€ (SUC)",43000 € ?,100 kWh , 100 kWh,? ch , ? kW , ? Nm,2600kg, ? , ?,390,256 Wh/km,565-405 km,177-247 Wh/km,345-275 km,290-364 Wh/km
tesla cybertruck dual motor (awd) (2022),"4,5 sec.",193 km/h,"17,7€ @ 11kW / 28,8€ (SUC)","3,85€ / 6,26€ (SUC)",53000 € ?,120 kWh , 120 kWh,? ch , ? kW , ? Nm,2750kg, ? , ?,460,261 Wh/km,660-480 km,182-250 Wh/km,405-325 km,293-369 Wh/km
tesla cybertruck tri motor (awd) (2022),3 sec.,209 km/h,"29,5€ @ 11kW / 48€ (SUC)","3,96€ / 6,4€ (SUC)",78000 € ?,200 kWh , 200 kWh,816 ch , 600 kW , 1400 Nm,3000kg, ? , ?,750,267 Wh/km,1080-780 km,185-256 Wh/km,670-540 km,299-370 Wh/km
